# Meant for editor testing only



wall |0,4200| 200,200|
wall |0,4000| 200,200|
wall |0,3800| 200,200|
wall |0,3600| 200,200|
wall |0,1400| 200,200|
wall |0,1600| 200,200|
wall |0,1800| 200,200|
wall |0,2400| 200,200|
wall |0,2600| 200,200|
wall |0,2800| 200,200|
wall |0,3000| 200,200|
wall |8400,5400| 200,200|
wall |8600,5400| 200,200|
wall |8800,5400| 200,200|
wall |9000,5400| 200,200|
wall |9200,5400| 200,200|
wall |9400,5400| 200,200|
wall |9400,5200| 200,200|
wall |9400,5000| 200,200|
wall |9400,4800| 200,200|
wall |9400,4200| 200,200|
wall |9400,4000| 200,200|
wall |9400,3800| 200,200|
wall |9400,3600| 200,200|
wall |9400,3000| 200,200|
wall |9400,2800| 200,200|
wall |9400,2600| 200,200|
wall |9400,2400| 200,200|
wall |9400,1800| 200,200|
wall |9400,1600| 200,200|
wall |9400,1400| 200,200|
wall |9400,1200| 200,200|
wall |9400,600| 200,200|
wall |9400,400| 200,200|
wall |9400,200| 200,200|
wall |9400,0| 200,200|
wall |9200,0| 200,200|
wall |9000,0| 200,200|
wall |8800,0| 200,200|
wall |8600,0| 200,200|
wall |8400,0| 200,200|
wall |8200,0| 200,200|





wall |200,0| 200,200|





monster |400,1200| shooter|
monster |400,1200| shooter|
monster |400,1200| shooter|
monster |600,1200| patroller|
monster |600,1200| patroller|
monster |600,1200| patroller|
monster |600,1200| patroller|
monster |800,1200| chaser|
monster |800,1200| chaser|
monster |800,1200| chaser|
monster |800,1200| chaser|
wall |9400,800| 200,200|
wall |9400,1000| 200,200|
wall |0,1000| 200,200|
wall |0,800| 200,200|
wall |0,0| 200,200|
wall |1400,800| 200,200|
wall |1600,800| 200,200|
wall |1800,800| 200,200|
wall |2000,800| 200,200|
wall |2000,1000| 200,200|
wall |2000,1200| 200,200|
wall |1400,1000| 200,200|
wall |1400,1200| 200,200|
wall |1400,1400| 200,200|
wall |1600,1400| 200,200|
wall |1800,1400| 200,200|
wall |2000,1400| 200,200|
wall |2600,600| 200,200|
wall |2800,600| 200,200|
wall |3000,600| 200,200|
wall |3200,600| 200,200|
wall |2600,1000| 200,200|
wall |3000,1000| 200,200|
wall |2800,1000| 200,200|
wall |3200,1000| 200,200|
wall |2600,1400| 200,200|
wall |2800,1400| 200,200|
wall |3000,1400| 200,200|
wall |3200,1400| 200,200|
wall |2600,4200| 200,200|
wall |2800,4200| 200,200|
wall |3000,4200| 200,200|
wall |3200,4200| 200,200|
wall |3200,4400| 200,200|
wall |3200,4600| 200,200|
wall |3200,4800| 200,200|
wall |3000,4800| 200,200|
wall |2800,4800| 200,200|
wall |2600,4800| 200,200|
wall |2600,4600| 200,200|
wall |2600,4400| 200,200|
wall |2800,1800| 200,200|
wall |2800,2000| 200,200|
wall |2800,2200| 200,200|
wall |2800,2400| 200,200|
wall |3000,2400| 200,200|
wall |3000,2200| 200,200|
wall |3000,2000| 200,200|
wall |3000,1800| 200,200|
wall |2800,2600| 200,200|
wall |3000,2600| 200,200|
wall |2800,3000| 200,200|
wall |3000,3000| 200,200|
wall |2800,3200| 200,200|
wall |2800,3400| 200,200|
wall |2800,3600| 200,200|
wall |3000,3600| 200,200|
wall |3000,3400| 200,200|
wall |3000,3200| 200,200|
wall |3000,3800| 200,200|
wall |2800,3800| 200,200|
wall |400,4400| 200,200|
wall |600,4400| 200,200|
wall |800,4400| 200,200|
wall |1000,4400| 200,200|
wall |0,4400| 200,200|
wall |0,4600| 200,200|
wall |400,4600| 200,200|
wall |400,4800| 200,200|
wall |600,4800| 200,200|
wall |800,4800| 200,200|
wall |1000,4800| 200,200|
wall |1000,4600| 200,200|
wall |1400,4400| 200,200|
wall |1400,4600| 200,200|
wall |2000,4400| 200,200|
wall |2000,4600| 200,200|
wall |1400,3800| 200,200|
wall |1400,4000| 200,200|
wall |2000,4000| 200,200|
wall |2000,3800| 200,200|
wall |1400,3200| 200,200|
wall |1600,3200| 200,200|
wall |1800,3200| 200,200|
wall |2000,3200| 200,200|
wall |2000,3400| 200,200|
wall |1800,3400| 200,200|
wall |1600,3400| 200,200|
wall |1400,3400| 200,200|
wall |1400,2600| 200,200|
wall |1400,2800| 200,200|
wall |1600,2800| 200,200|
wall |2000,2600| 200,200|
wall |2000,2800| 200,200|
wall |1800,2800| 200,200|
wall |1400,1800| 200,200|
wall |1600,1800| 200,200|
wall |1800,1800| 200,200|
wall |2000,1800| 200,200|
wall |2000,2000| 200,200|
wall |2000,2200| 200,200|
wall |2000,2400| 200,200|
wall |1400,2000| 200,200|
wall |1400,2200| 200,200|
wall |1400,2400| 200,200|
wall |2000,4200| 200,200|
wall |1400,4200| 200,200|
wall |600,1400| 200,200|
wall |400,1400| 200,200|
wall |400,1800| 200,200|
wall |600,1800| 200,200|
wall |400,800| 200,200|
wall |600,800| 200,200|
wall |0,2000| 200,200|
wall |0,2200| 200,200|

wall |600,2600| 200,200|
wall |600,2800| 200,200|
wall |800,1400| 200,200|
wall |800,1800| 200,200|
wall |400,1600| 200,200|
wall |600,2000| 200,200|
wall |600,2200| 200,200|
wall |400,2200| 200,200|
wall |800,2200| 200,200|
wall |0,3200| 200,200|
wall |0,3400| 200,200|
wall |4000,800| 200,200|
wall |4200,800| 200,200|
wall |4200,1000| 200,200|
wall |4000,1000| 200,200|
wall |4000,600| 200,200|
wall |4200,600| 200,200|
wall |4200,1200| 200,200|
wall |4000,1200| 200,200|
wall |7400,600| 200,200|
wall |7600,600| 200,200|
wall |7800,600| 200,200|
wall |8000,600| 200,200|
wall |8000,800| 200,200|
wall |8000,1200| 200,200|
wall |8000,1000| 200,200|
wall |7400,800| 200,200|
wall |7400,1000| 200,200|
wall |7400,1200| 200,200|
wall |7600,1200| 200,200|
wall |7800,1200| 200,200|
wall |9400,2000| 200,200|
wall |9400,2200| 200,200|
wall |8600,2000| 200,200|
wall |9000,2000| 200,200|
wall |9000,2200| 200,200|
wall |8600,2200| 200,200|

wall |9400,3200| 200,200|
wall |9400,3400| 200,200|
wall |8800,3200| 200,200|
wall |9000,3200| 200,200|
wall |9000,3400| 200,200|
wall |9000,3600| 200,200|
wall |8800,3600| 200,200|
wall |8600,3200| 200,200|
wall |8600,3600| 200,200|
wall |8600,2600| 200,200|
wall |8800,2600| 200,200|
wall |9000,2600| 200,200|
wall |8800,2800| 200,200|

wall |9400,4400| 200,200|
wall |9400,4600| 200,200|
wall |8800,4400| 200,200|
wall |8800,4600| 200,200|
wall |8800,4800| 200,200|
wall |8800,5000| 200,200|
wall |7400,4400| 200,200|
wall |7400,4600| 200,200|
wall |7800,4600| 200,200|
wall |7800,4400| 200,200|
wall |7600,4400| 200,200|

wall |6200,4200| 200,200|
wall |6400,4200| 200,200|
wall |6600,4200| 200,200|
wall |6800,4200| 200,200|
wall |6800,4800| 200,200|
wall |6600,4800| 200,200|
wall |6400,4800| 200,200|
wall |6200,4800| 200,200|
wall |6200,600| 200,200|
wall |6200,800| 200,200|
wall |6200,1000| 200,200|
wall |6200,1200| 200,200|
wall |6800,600| 200,200|
wall |6800,800| 200,200|
wall |6800,1000| 200,200|
wall |6800,1200| 200,200|
wall |6800,1400| 200,200|

wall |6800,1800| 200,200|
wall |6200,1800| 200,200|
wall |6200,1400| 200,200|
wall |6800,2400| 200,200|

wall |6200,2200| 200,200|
wall |6200,2400| 200,200|
wall |6800,2200| 200,200|
wall |6800,2600| 200,200|
wall |6200,2600| 200,200|
wall |6400,3000| 200,200|
wall |6600,3000| 200,200|
wall |6800,3000| 200,200|
wall |6200,3000| 200,200|
wall |6200,3200| 200,200|
wall |6800,3200| 200,200|
wall |6800,3400| 200,200|
wall |6200,3400| 200,200|
wall |6800,3600| 200,200|
wall |6200,3600| 200,200|
wall |6400,3600| 200,200|
wall |6600,3600| 200,200|

monster |2800,800| shooter|



monster |2400,1000| chaser|
monster |2400,1000| chaser|
monster |2400,1000| chaser|
monster |2400,1000| chaser|
monster |2400,1000| patroller|
monster |2400,1000| patroller|
monster |2400,1000| patroller|
monster |2400,1000| patroller|
monster |2400,1000| patroller|
monster |2400,1000| patroller|
monster |2400,1000| patroller|
monster |3400,1000| patroller|
monster |3400,1000| patroller|
monster |3400,1000| patroller|
monster |3400,1000| patroller|
monster |3200,1800| patroller|
monster |3200,1800| patroller|
monster |3200,1800| patroller|
monster |2600,1800| patroller|
monster |2600,1800| patroller|
monster |2600,1800| patroller|
monster |3400,1600| chaser|
monster |3400,1600| chaser|
monster |3400,1600| chaser|
monster |3400,2200| patroller|
monster |3400,2200| patroller|
monster |3400,2200| patroller|
monster |3400,2200| patroller|
monster |3400,2200| patroller|
monster |3400,2200| shooter|
monster |3400,2200| shooter|
monster |3400,2200| shooter|
monster |3400,2200| shooter|
monster |2400,2200| shooter|
monster |2400,2200| shooter|
monster |2400,2200| shooter|
monster |2600,3000| shooter|
monster |2600,3000| shooter|
monster |3200,3000| shooter|
monster |3200,3000| shooter|
monster |3200,3000| shooter|
monster |3200,3400| shooter|
monster |3200,3400| shooter|
monster |3200,3400| shooter|
monster |3400,3400| patroller|
monster |3400,3400| patroller|
monster |3400,3400| patroller|
monster |2400,3400| patroller|
monster |2400,3400| patroller|
monster |2400,3400| patroller|
monster |2400,3400| patroller|
monster |3400,4200| shooter|
monster |3400,4200| shooter|
monster |3400,4200| shooter|
monster |2400,4200| shooter|
monster |2400,4200| shooter|
monster |2400,4200| shooter|
monster |2400,3600| chaser|
monster |2400,3600| chaser|
monster |2400,3600| chaser|
monster |2400,3600| chaser|
monster |3400,3600| chaser|
monster |3400,3600| chaser|
monster |3400,3600| chaser|
monster |3400,3600| chaser|
monster |2800,5000| chaser|
monster |2800,5000| chaser|
monster |2800,5000| chaser|
monster |3000,5000| chaser|
monster |3000,5000| chaser|
monster |3000,5000| chaser|
monster |3000,5000| chaser|
monster |1600,5000| chaser|
monster |1600,5000| chaser|
monster |200,5200| shooter|
monster |200,5200| shooter|
monster |200,5200| shooter|
monster |600,5000| chaser|
monster |600,5000| chaser|
monster |600,5000| chaser|
monster |600,5000| chaser|
monster |600,5000| chaser|
monster |600,4200| chaser|
monster |600,4200| chaser|
monster |600,4200| chaser|
monster |600,3800| chaser|
monster |600,3800| chaser|
monster |600,3800| chaser|
monster |600,3800| chaser|
monster |600,3800| chaser|
monster |600,3800| chaser|
monster |600,3800| chaser|
monster |600,3800| chaser|
monster |600,3800| chaser|
monster |600,3800| chaser|
monster |600,3800| chaser|
monster |400,3400| shooter|
monster |400,3400| shooter|
monster |600,3400| patroller|
monster |600,3400| patroller|
monster |600,3400| patroller|
monster |600,3400| patroller|
monster |800,3400| shooter|
monster |800,3400| shooter|
monster |800,3400| shooter|
monster |800,3400| shooter|
monster |800,2600| chaser|
monster |800,2600| chaser|
monster |800,2600| chaser|
monster |400,2600| chaser|
monster |400,2600| chaser|
monster |200,2000| chaser|
monster |200,2000| chaser|
monster |400,2000| chaser|
monster |400,2000| chaser|
monster |400,2000| chaser|
obsticle |200,1600| block|
obsticle |800,200| block|
obsticle |800,400| block|
obsticle |1400,400| block|
obsticle |2000,400| block|
obsticle |1600,400| flinger|
obsticle |1800,400| flinger|
obsticle |1400,600| block|
obsticle |2000,600| block|
monster |4200,400| shooter|
monster |4200,400| shooter|
monster |4200,400| shooter|
monster |3800,600| patroller|
monster |3800,600| patroller|
monster |3800,600| patroller|
monster |3800,600| patroller|
monster |3800,1000| chaser|
monster |3800,1000| chaser|
monster |3800,1000| chaser|
monster |3800,1000| chaser|
monster |3800,1000| shooter|
monster |3800,1000| shooter|
obsticle |3800,1000| flinger|
monster |3600,1000| patroller|
monster |3600,1000| patroller|
monster |4400,600| patroller|
monster |4400,600| patroller|
monster |4600,1000| patroller|
obsticle |5000,800| block|
obsticle |5000,1000| block|
obsticle |5600,800| block|
obsticle |5600,1000| block|
obsticle |5400,1200| block|
obsticle |5200,1200| block|
obsticle |5000,1200| block|
obsticle |5000,600| block|
obsticle |5200,600| block|
obsticle |5600,600| block|
obsticle |5400,600| block|
obsticle |5600,1200| block|
monster |5200,800| chaser|
monster |5200,800| chaser|
monster |5200,800| shooter|
monster |5200,800| shooter|
obsticle |5200,800| flinger|
obsticle |5200,1000| flinger|
wall |5400,800| 200,200|
monster |6400,1000| patroller|
monster |6400,1000| patroller|
monster |6600,1200| patroller|
monster |6600,1200| patroller|
monster |6600,1200| patroller|
monster |8800,800| chaser|
monster |8800,800| chaser|
monster |8800,1000| chaser|
monster |8800,1000| chaser|
obsticle |8600,200| block|
obsticle |8600,400| block|
obsticle |8600,600| block|
monster |8800,1400| chaser|
monster |8800,1400| chaser|
monster |8800,1400| chaser|
monster |8800,2400| patroller|
monster |8400,2400| chaser|
monster |8400,2400| chaser|
monster |8400,2400| chaser|
monster |8400,2400| shooter|
monster |8400,2400| shooter|
monster |8400,2400| shooter|
monster |8400,2400| patroller|
monster |8400,2400| patroller|
monster |8400,2400| patroller|
monster |8400,2400| patroller|
monster |9200,2400| patroller|
monster |9200,2400| patroller|
monster |9200,2400| patroller|
monster |9200,2400| patroller|
monster |8800,2400| shooter|
monster |8800,2400| shooter|
monster |8800,2400| shooter|
monster |8800,3400| shooter|
monster |8800,3400| shooter|
obsticle |8800,3400| flinger|
monster |8800,4000| shooter|
monster |8800,4000| shooter|
monster |8800,4000| shooter|
obsticle |8800,4000| flinger|
monster |9000,4600| shooter|
monster |9000,4600| shooter|
obsticle |9000,4600| flinger|
monster |9200,4600| chaser|
monster |9200,4600| chaser|
monster |9200,4600| chaser|
monster |7800,5000| chaser|
monster |7800,5000| chaser|
monster |7600,5000| chaser|
monster |7600,5000| chaser|
monster |7600,5000| chaser|
obsticle |8000,5200| block|
obsticle |8000,5000| block|
obsticle |7400,5000| block|
monster |6600,5200| shooter|
monster |6600,5200| shooter|
monster |6600,5200| shooter|
monster |6400,5200| shooter|
monster |5200,5000| chaser|
monster |5200,5000| chaser|
monster |5200,5000| shooter|
monster |5200,5000| shooter|
obsticle |5200,5000| flinger|
obsticle |5400,5000| flinger|
obsticle |5400,5200| block|
obsticle |5200,5200| block|
obsticle |5200,4800| block|
obsticle |5400,4800| block|
monster |4000,5000| chaser|
wall |4000,1600| 200,200|
wall |4000,1800| 200,200|
wall |4200,1600| 200,200|
wall |4200,1800| 200,200|
wall |4000,2000| 200,200|
wall |3800,2000| 200,200|
wall |3800,2200| 200,200|
wall |4400,2000| 200,200|
wall |4400,2200| 200,200|
wall |3800,2600| 200,200|
wall |3800,2800| 200,200|
wall |4000,3000| 200,200|
wall |4200,3000| 200,200|
wall |4400,2800| 200,200|
wall |4400,2600| 200,200|
wall |4000,3800| 200,200|
wall |4200,3800| 200,200|
wall |4400,3600| 200,200|
wall |3800,3600| 200,200|
wall |3800,4000| 200,200|
wall |4400,4000| 200,200|
wall |3600,3800| 200,200|
wall |4600,3800| 200,200|
monster |4400,3800| shooter|
monster |4400,3800| shooter|
monster |4400,3800| shooter|
obsticle |4400,3800| flinger|
obsticle |3800,3800| flinger|
wall |4000,4400| 200,200|
wall |4000,4600| 200,200|
wall |4000,4800| 200,200|
wall |4200,4400| 200,200|
wall |4200,4600| 200,200|
wall |4200,4800| 200,200|
wall |4400,4400| 200,200|
wall |3800,4400| 200,200|
wall |3800,4800| 200,200|
wall |4400,4800| 200,200|
monster |4200,4600| chaser|
monster |4000,4600| chaser|
monster |4000,4600| chaser|
monster |4200,4600| chaser|
monster |4200,4600| chaser|
monster |1600,4000| chaser|
monster |1600,4000| chaser|
monster |1600,4000| chaser|
monster |1800,4000| chaser|
monster |1600,4400| chaser|
monster |1600,4400| chaser|
monster |400,2000| shooter|
monster |400,2000| shooter|
monster |400,2000| shooter|
monster |400,2000| shooter|
monster |400,2000| shooter|
monster |400,2000| shooter|
monster |400,2000| shooter|
monster |400,2000| shooter|
monster |400,2000| shooter|
monster |400,2000| shooter|
monster |400,2000| shooter|
monster |400,2000| shooter|
monster |400,2000| shooter|
monster |400,2000| shooter|
monster |400,2000| shooter|
monster |400,2000| shooter|
monster |400,2000| shooter|


wall |0,200| 200,200|
monster |200,200| chaser|
monster |400,200| patroller|
monster |400,200| patroller|
monster |400,200| patroller|
monster |400,200| patroller|

wall |200,0| 200,200|
wall |0,0| 200,200|
